Close	High	Low	Open	Volume	datetime	companyName	SMA20	SMA40	SMA100	SMA200	pivotHigh	pivotLow	isPivot	pm40_01	ind_SMA	id_posiblepm40	trendH	trendcurrhigh	cdlengulfing	cdlhammer	cdlmorningstar	cdlpiercing	cdlclosingmarubozu	cdlmarubozu	cdl3whitesoldiers	cdlharami	cdlharamicross	cdlinvertdhammer	cdlladderbottom	Vela_Verde	Third_Level	Above_Third	bearishSlope	ind_posicion	promVol	sl_highs	r_sq_h	isBreakOut	isBreakOutIni	breakpointpos	isBreakOutFinal	caso
454.0	454.1099853515625	453.68499755859375	453.7200012207031	6575045	2023-11-20 18:30:00+00:00	SPY	450.7122497558594	448.52587432861327	438.8784585571289	432.1210792541504				0	1	0		469.39910460355	0	0	0	0	0	0	0	0	0	0	0	True	453.8616638183594	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.0299987792969	455.125	454.0050048828125	454.010009765625	9081658	2023-11-20 19:30:00+00:00	SPY	450.9817489624023	448.92237396240233	439.25905853271485	432.22402877807616	455.126		1.0	0	1	0		469.21011406078685	0	0	0	0	0	0	0	0	0	0	0	True	454.3833414713542	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.25	455.0400085449219	453.9200134277344	455.0299987792969	16384028	2023-11-20 20:30:00+00:00	SPY	451.1967483520508	449.26587371826173	439.63075866699216	432.325828704834				0	1	0		469.02112351802367	0	0	0	0	0	0	0	0	0	0	0	False	455.40333048502606	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
452.1499938964844	453.3200073242188	452.0400085449219	453.1842041015625	10197681	2023-11-21 14:30:00+00:00	SPY	451.3877487182617	449.55137329101564	439.9698385620117	432.4180241394043				0	1	0		468.8321329752605	0	0	0	0	0	0	0	0	0	0	0	False	453.6108703613281	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
452.5	452.7749938964844	451.95989990234375	452.1600036621094	7548888	2023-11-21 15:30:00+00:00	SPY	451.5499984741211	449.86037292480466	440.31253845214843	432.5073741149902				0	1	0		468.64314243249737	0	0	0	0	0	0	0	0	0	0	0	True	452.43170166015625	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
453.1300048828125	453.2000122070313	452.2200012207031	452.4901123046875	4716211	2023-11-21 16:30:00+00:00	SPY	451.7359985351562	450.16537551879884	440.63218841552737	432.59592407226563				0	1	0		468.4541518897342	0	0	0	0	0	0	0	0	0	0	0	True	452.81678263346356	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
452.8409118652344	453.5899963378906	452.6413879394531	453.1337890625	4885190	2023-11-21 17:30:00+00:00	SPY	451.9312942504883	450.4676483154297	440.9566973876953	432.6785786437988				0	1	0		468.265161346971	0	0	0	0	0	0	0	0	0	0	0	False	453.4499918619792	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
453.25	453.5700073242188	452.7900085449219	452.8699951171875	5339982	2023-11-21 18:30:00+00:00	SPY	452.11329498291013	450.7938980102539	441.28899749755857	432.7652536010742				0	1	0		468.0761708042079	0	0	0	0	0	0	0	0	0	0	0	True	453.1299947102865	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
453.2699890136719	453.5799865722656	452.8200073242188	453.25	5421922	2023-11-21 19:30:00+00:00	SPY	452.2662948608398	450.90389785766604	441.6234973144531	432.8507534790039				0	1	0		467.8871802614447	0	0	0	0	0	0	0	0	0	0	0	True	453.5033264160156	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
453.260009765625	453.489990234375	452.8900146484375	453.2749938964844	7235517	2023-11-21 20:30:00+00:00	SPY	452.4167953491211	450.9988983154297	441.95209747314453	432.93100357055664				0	1	0		467.69818971868153	0	0	0	0	0	0	0	0	0	0	0	False	453.47498575846356	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.9599914550781	456.3800048828125	453.8894958496094	455.3299865722656	14657791	2023-11-22 14:30:00+00:00	SPY	452.67479553222654	451.1701484680176	442.27339752197264	433.0387504577637				0	1	0		467.5091991759184	0	0	0	0	0	0	0	0	0	0	0	False	456.16015625	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.010009765625	455.5299987792969	454.2799987792969	454.9599914550781	7671327	2023-11-22 15:30:00+00:00	SPY	452.91904602050784	451.3241485595703	442.5964974975586	433.1508755493164				0	1	0		467.32020863315523	0	0	0	0	0	0	0	0	0	0	0	True	455.3766581217448	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.3800048828125	455.8999938964844	454.8900146484375	455.0199890136719	5564070	2023-11-22 16:30:00+00:00	SPY	453.15254669189454	451.4946487426758	442.8680975341797	433.26082305908204				0	1	0		467.13121809039205	0	0	0	0	0	0	0	0	0	0	0	True	455.3566487630208	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.5499877929688	455.5650024414063	454.6199951171875	455.3900146484375	4455610	2023-11-22 17:30:00+00:00	SPY	453.3825454711914	451.63687057495116	443.13669738769534	433.37002304077146	455.5660024414063		1.0	0	1	0		466.94222754762893	0	0	0	0	0	0	0	0	0	0	0	True	455.70501708984375	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.4800109863281	455.6199951171875	455.2049865722656	455.5499877929688	5262448	2023-11-22 18:30:00+00:00	SPY	453.60204620361327	451.80562057495115	443.4041973876953	433.475173034668				0	1	0		466.75323700486575	0	0	0	0	0	0	0	0	0	0	0	False	455.68832397460943	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.2800903320313	455.5	453.9249877929688	455.4700012207031	8808112	2023-11-22 19:30:00+00:00	SPY	453.82705078125	451.92012252807615	443.6607983398437	433.59087341308594				0	1	0		466.56424646210263	0	100	0	0	0	0	0	0	0	0	0	False	455.9950052897135	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.0299987792969	455.4100036621094	454.9800109863281	455.2799987792969	7993229	2023-11-22 20:30:00+00:00	SPY	453.9810501098633	452.0258728027344	443.90968933105466	433.70150085449217				0	1	0		466.37525591933945	0	0	0	0	-100	0	0	0	0	0	0	False	455.42332967122394	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.9800109863281	455.5	454.7300109863281	455.0700073242188	7031138	2023-11-24 14:30:00+00:00	SPY	454.09654998779297	452.14612579345703	444.1568392944336	433.8254508972168				0	1	0		466.18626537657633	0	0	0	0	0	0	0	0	0	0	0	False	455.3266703287761	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.0450134277344	455.239990234375	454.7300109863281	454.989990234375	5936204	2023-11-24 15:30:00+00:00	SPY	454.20530090332034	452.27877578735354	444.39978942871096	433.9435260009766				0	1	0		465.9972748338131	0	0	0	0	0	0	0	0	0	0	0	True	455.1599833170573	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.8599853515625	455.135009765625	454.8500061035156	455.0499877929688	7532051	2023-11-24 16:30:00+00:00	SPY	454.2628005981445	452.38927536010743	444.60978942871094	434.062425994873				0	1	0		465.80828429105	-100	0	0	0	-100	-100	0	0	0	0	0	False	455.14498901367193	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.6099853515625	455.2449951171875	454.0798950195313	454.6499938964844	9113168	2023-11-27 14:30:00+00:00	SPY	454.29329986572264	452.50277481079104	444.81638916015623	434.177725982666				0	1	0		465.61929374828685	0	0	0	0	0	0	0	0	0	0	0	False	455.0383605957031	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.8699035644531	455.0704040527344	454.23089599609375	454.6300048828125	5772801	2023-11-27 15:30:00+00:00	SPY	454.2852951049805	452.6335220336914	445.009538269043	434.27245056152344				0	1	0		465.43030320552367	0	0	0	0	0	0	0	0	0	0	0	True	454.9098409016927	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.9500122070313	455.3900146484375	454.5710144042969	454.8599853515625	6221715	2023-11-27 16:30:00+00:00	SPY	454.320295715332	452.7585220336914	445.2080383300781	434.3643505859375				0	1	0		465.2413126627605	0	0	0	0	0	0	0	0	0	0	0	True	455.1329854329427	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.239990234375	455.4901123046875	454.8949890136719	454.9700012207031	4420471	2023-11-27 17:30:00+00:00	SPY	454.47479553222655	452.93127212524416	445.4031381225586	434.4601005554199				0	1	0		465.05232211999737	0	0	0	0	0	0	0	0	0	0	0	True	455.1683756510417	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.9949951171875	455.3699951171875	454.8900146484375	455.239990234375	4110195	2023-11-27 18:30:00+00:00	SPY	454.59954528808595	453.0747718811035	445.59838806152345	434.5568754577637				0	1	0		464.8633315772342	0	0	0	0	0	0	0	0	0	0	0	False	455.3999837239583	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.9649963378906	455.0299987792969	454.1099853515625	455.0	6152850	2023-11-27 19:30:00+00:00	SPY	454.69129486083983	453.21364669799806	445.80113800048827	434.65195037841795				0	1	0		464.674341034471	0	100	0	0	0	0	0	0	0	0	0	False	455.3066711425781	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.5	455.30999755859375	454.3699951171875	454.9949951171875	10347825	2023-11-27 20:30:00+00:00	SPY	454.7742492675781	453.3527717590332	445.9933380126953	434.7400503540039				0	1	0		464.4853504917079	0	0	0	0	0	0	0	0	0	0	0	False	455.30832926432294	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.0499877929688	454.2850036621094	453.5	454.0799865722656	9220531	2023-11-28 14:30:00+00:00	SPY	454.8142486572266	453.46377182006836	446.17933776855466	434.8301502990723		453.499	2.0	1	1	1		464.2963599489447	0	0	0	0	0	0	0	0	0	0	0	False	454.34165445963544	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.5700073242188	455.6650085449219	453.9249877929688	454.0499877929688	9229012	2023-11-28 15:30:00+00:00	SPY	454.9292495727539	453.5977722167969	446.3846377563477	434.93467529296873				0	1	0		464.10736940618153	0	0	100	0	0	0	0	0	0	0	0	True	454.6299947102865	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.3999938964844	456.2699890136719	455.3500061035156	455.6650085449219	7017631	2023-11-28 16:30:00+00:00	SPY	455.0362487792969	453.726522064209	446.5964376831055	435.03197525024416				0	1	0		463.9183788634184	0	0	0	0	0	0	0	0	0	0	0	False	455.97166951497394	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.5499877929688	455.4100036621094	453.7699890136719	455.4100036621094	9731581	2023-11-28 17:30:00+00:00	SPY	455.01574859619143	453.845272064209	446.7990386962891	435.1143667602539				0	1	0		463.72938832065523	0	0	0	0	0	0	0	0	0	0	0	False	455.95667521158856	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.25	454.7966918945313	454.1502990722656	454.5400085449219	4898201	2023-11-28 18:30:00+00:00	SPY	454.97774810791014	453.94839706420896	446.9913388061523	435.20399169921876				0	1	0		463.54039777789205	0	0	0	0	0	0	0	0	0	0	0	False	454.75547281901044	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.3900146484375	454.9450073242188	453.9700012207031	454.25	5641164	2023-11-28 19:30:00+00:00	SPY	454.9282485961914	454.04039764404297	447.1787390136719	435.30016677856446				0	1	0		463.35140723512893	0	0	0	0	0	0	0	0	0	0	0	True	454.57500203450525	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.8900146484375	455.1000061035156	454.239990234375	454.3800048828125	11032072	2023-11-28 20:30:00+00:00	SPY	454.89524993896487	454.13889770507814	447.36313903808593	435.397216796875				0	1	0		463.16241669236575	0	0	0	0	0	0	0	0	0	0	0	True	454.6666768391927	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.4750061035156	458.3200073242188	456.1000061035156	457.1499938964844	15944168	2023-11-29 14:30:00+00:00	SPY	454.9449996948242	454.2735229492188	447.5575390625	435.49919189453124	458.3210073242188		1.0	0	1	0		462.9734261496026	0	0	0	0	0	0	0	0	0	0	0	False	457.88999430338544	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
